tweet_id,retweet_count,favorite_count
892420643555336193,7609,35894
892177421306343426,5637,30963
891815181378084864,3730,23301
891689557279858688,7784,39174
891327558926688256,8383,37427
891087950875897856,2810,18858
890971913173991426,1828,10951
890729181411237888,17001,60450
890609185150312448,3871,25944
890240255349198849,6617,29635
890006608113172480,6603,28536
889880896479866881,4490,25947
889665388333682689,9009,44679
889638837579907072,4042,25145
889531135344209921,2035,14089
889278841981685760,4811,23428
888917238123831296,4049,27072
888804989199671297,3817,23772
888554962724278272,3129,18358
888078434458587136,3131,20264
887705289381826560,4871,28144
887517139158093824,10620,43142
887473957103951883,16231,63928
887343217045368832,9455,31312
887101392804085760,5382,28495
886983233522544640,6912,32454
886736880519319552,2893,11135
886680336477933568,4038,20915
886366144734445568,2856,19662
886267009285017600,4,111
886258384151887873,5699,26032
886054160059072513,100,0
885984800019947520,6062,30314
885528943205470208,5763,33423
885518971528720385,3370,19050
885311592912609280,16698,0
885167619883638784,3938,20346
884925521741709313,16300,71658
884876753390489601,5031,25879
884562892145688576,4243,22605
884441805382717440,5133,25209
884247878851493888,18326,67488
884162670584377345,2702,18982
883838122936631299,3093,20335
883482846933004288,8913,42617
883360690899218434,3333,21098
883117836046086144,5998,34528
882992080364220416,3505,22227
882762694511734784,4405,26288
882627270321602560,5481,26053
882268110199369728,10453,41708
882045870035918850,4402,27285
881906580714921986,3071,22647
881666595344535552,9636,47161
881633300179243008,7,116
881536004380872706,14442,46038
881268444196462592,4775,21637
880935762899988482,2528,15922
880872448815771648,3456,19815
880465832366813184,5608,26492
880221127280381952,3766,25096
880095782870896641,3923,25705
879862464715927552,3155,20824
879674319642796034,10,293
879492040517615616,2882,21871
879415818425184262,40196,98497
879376492567855104,2827,15661
879130579576475649,6150,0
879050749262655488,4251,20987
879008229531029506,2425,17714
878776093423087618,3701,18053
878604707211726852,6406,28064
878404777348136964,1163,0
878316110768087041,6008,0
878281511006478336,1163,7204
878057613040115712,6150,39222
877736472329191424,17155,73849
877611172832227328,72,0
877556246731214848,3441,21159
877316821321428993,4712,25557
877201837425926144,5049,25256
876838120628539392,3026,19293
876537666061221889,4256,22094
876484053909872640,2146,17520
876120275196170240,4233,26113
875747767867523072,3881,23478
875144289856114688,4447,20473
875097192612077568,5512,25623
875021211251597312,4282,23810
874680097055178752,4210,25979
874434818259525634,13198,0
874296783580663808,3743,24333
874057562936811520,3624,21242
874012996292530176,9311,32012
873580283840344065,3587,22651
873337748698140672,1446,0
873213775632977920,1446,6698
872967104147763200,4928,25493
872820683541237760,3388,13788
872620804844003328,3324,19407
872486979161796608,8250,38184
872122724285648897,7384,32110
871879754684805121,10013,35214
871762521631449091,3188,18955
871515927908634625,3179,18923
871166179821445120,5227,0
871102520638267392,5030,19624
871032628920680449,3496,21341
870804317367881728,5670,31592
870726314365509632,3,114
870656317836468226,2409,11590
870374049280663552,24319,78024
870308999962521604,3799,20597
870063196459192321,7626,34315
869772420881756160,9318,40046
869702957897576449,5791,26540
869596645499047938,2871,15017
869227993411051520,3472,19233
868880397819494401,13274,61564
868639477480148993,1909,0
868622495443632128,4873,25126
868552278524837888,1909,9496
867900495410671616,3854,22839
867774946302451713,6781,32027
867421006826221569,2300,15180
867072653475098625,110,0
867051520902168576,7289,30421
866720684873056260,4433,18894
866686824827068416,3231,18203
866450705531457537,32600,115505
866334964761202691,13198,49507
866094527597207552,7766,0
865718153858494464,5213,24291
865359393868664832,4641,25036
865006731092295680,7142,26524
864873206498414592,8070,30565
864279568663928832,2808,13811
864197398364647424,8221,28387
863907417377173506,3847,19535
863553081350529029,3903,14486
863471782782697472,2260,0
863432100342583297,4881,22568
863427515083354112,89,2090
863079547188785154,1035,8341
